Username,Date,Favorites,Retweets,Hashtags,Text
RealNewsUK,2018-10-31 18:53:41+00:00,0,0,"['#falseflag', '#pittsburgh', '#mexicoborder', '#london', '#brexit', '#altnews', '#lbc', '#lbclive', '#lbcbreaking', '#skynews', '#skypapers', '#westminster', '#remain', '#ukip', '#qanon', '#bbcswitchoff']",DEEP STATE: UK/US Main Stream Media set up mass murder #falseflag attacks to “Blame Trump.” & destroy his election chances. #pittsburgh #mexicoborder #london #brexit #altnews #lbc #lbclive #lbcbreaking #skynews #skypapers #westminster #remain #ukip #qanon #bbcswitchoff ~
ggbenedetto,2018-10-31 18:49:31+00:00,3,0,['#UKIP'],Maybe Batten's lateness at the fish market was due to assiduous attendance at the European Parliament's Fisheries Committee the previous day. #UKIP https:// twitter.com/andrewpolitics /status/1057544649978580992 …
HowarthJudd,2018-10-31 18:48:13+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/DamianCollins/ status/1057696229667282946 …
FutureWorldCen,2018-10-31 18:48:01+00:00,0,0,"['#labour', '#rt', '#tories', '#ukip']",#labour #rt #tories #ukip 1 book 150 subj insight site:Is UK’s Parliamentary Democracy Ideal http:// bit.ly/A2ECeM pic.twitter.com/b5XyFs3UKr
tgw123,2018-10-31 18:38:55+00:00,0,0,"['#Brexit', '#funny', '#ProjectFear', '#leave', '#remain', '#BestForBritain', '#LeaveMeansLeave', '#LeaveEU', '#OpenBritain', '#StandUp4Brexit', '#BritishInfluence', '#BelieveInBritain', '#GetBritainOut', '#BetterOffOut', '#ChuckChequers', '#Britain', '#UK', '#Conservatives', '#Labour', '#LibDems', '#Ukip', '#SNP']",#Brexit ~ Hilariously #funny short video #ProjectFear ~ . #leave #remain #BestForBritain #LeaveMeansLeave #LeaveEU #OpenBritain #StandUp4Brexit #BritishInfluence #BelieveInBritain #GetBritainOut #BetterOffOut #ChuckChequers #Britain #UK #Conservatives #Labour #LibDems #Ukip #SNP https:// twitter.com/Change_Britain /status/1053304766070054913 …
clynt1962,2018-10-31 18:32:01+00:00,1,0,"['#ukip', '#Bollockstobrexit', '#VoteLeaveBrokeTheLaw', '#PeoplesVote']",#ukip what a shower! It would be so funny if it wasn’t so tragic! #Bollockstobrexit #VoteLeaveBrokeTheLaw time for the law abiding people and the ones who get up on time to take back control #PeoplesVote
theblindblogger,2018-10-31 18:25:40+00:00,1,1,"['#TunbridgeWells', '#TommyRobinson', '#UKIP']","EXCLUSIVE: Blind Veteran Left ""Humiliated"" and ""Angry"" After Being ATTACKED By Muslim Taxi Driver. @Janice4Brexit . @KevinCa37472515 #TunbridgeWells @KTHopkins #TommyRobinson @bbcsoutheast @itvmeridian @DailyMailUK @UKIP #UKIP https://www. politicalite.com/exclusive/excl usive-blind-veteran-left-humiliated-and-angry-after-being-attacked-by-muslim-taxi-driver/ … via @Politicalite"
NFarengi,2018-10-31 17:40:57+00:00,0,0,['#ukip'],"Doesn't sit well, does it, Andy? (That's a good joke - I tell you what, my job's safe!!) #ukip"
ggibas1,2018-10-31 17:16:24+00:00,0,0,"['#UKIP', '#Brexit']",Take his lead @jeremycorbyn Yes there is something we can do about #UKIP voters and their #Brexit 1 stick to our principles 2 fight populism tooth and nail 3 call out facism wherever we see it 4 never appease the likes of Trump N'est-ce pas? @johnmcdonnellMP https:// twitter.com/guyverhofstadt /status/1057648387145719811 …
HowarthJudd,2018-10-31 16:43:54+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/cirian75/statu s/1057666302444224513 …
Helena_Hxx,2018-10-31 16:36:22+00:00,4,3,"['#TommyRobinson', '#UKIP']",Gerard Batten's brlliant response to 2 questions re #TommyRobinson & #UKIP https:// youtu.be/kVHXZFRoKRQ
Penbedw,2018-10-31 16:22:10+00:00,1,1,['#ukip'],Kipper missing from fish auction #ukip https:// twitter.com/andrewpolitics /status/1057544649978580992 …
MonsterMoose89,2018-10-31 16:06:37+00:00,0,0,"['#VoteTommy', '#TommyRobinson', '#UKIP']","I liked a @YouTube video http:// youtu.be/J5X8FT0SYzI?a #VoteTommy #TommyRobinson #UKIP ""TOMMY'S CABINET"""
JasnaBadzak,2018-10-31 15:57:23+00:00,8,12,"['#UKIP', '#ArronBanks']","Has anyone picked up the latest #UKIP #ArronBanks scam? 11 days ago @lizbilney and Bankski registered Blue Wave as ‘a political organisation’, but didn’t mention it in letters targeting MPs @DamianCollins @DrPhillipLeeMP @Anna_Soubry @carolecadwalla https:// beta.companieshouse.gov.uk/company/116319 28 …"
TommyRo89943568,2018-10-31 15:56:23+00:00,7,5,"['#TommyRobinson', '#GerardBatten', '#VoteTommy', '#ukip']",#TommyRobinson #GerardBatten #VoteTommy #ukip https:// youtu.be/kVHXZFRoKRQ @HarlowSceptic @rommytobinson @ActivePatriots @trotman_deirdre @realbasedamy @KevinCa37472515 @CllrBSilvester @MARIOBORG20 @BarneyBrazil @psychickat22 @KWarrior6 @UKIP @UKIPWales @JSeymourUKIP @UKIPElaine Pt 2 pic.twitter.com/1PXTWVEFqX
TommyRo89943568,2018-10-31 15:53:59+00:00,29,26,"['#TommyRobinson', '#GerardBatten', '#VoteTommy', '#ukip']",#TommyRobinson #GerardBatten #VoteTommy #ukip https:// youtu.be/kVHXZFRoKRQ @HarlowSceptic @rommytobinson @ActivePatriots @trotman_deirdre @realbasedamy @KevinCa37472515 @CllrBSilvester @MARIOBORG20 @BarneyBrazil @psychickat22 @KWarrior6 @UKIP @UKIPWales @JSeymourUKIP @UKIPElaine Pt 1 pic.twitter.com/8P8aD2gfH0
LizzieRoberts,2018-10-31 15:28:47+00:00,0,0,['#ukip'],"Leader of #ukip group Cllr Cowels cites another case involving a Lab Cllr - he says the reactions are completely different. He says comments in both cases should “not be a metaphor for homophobia”... “there are many groups who oppose this policy, including the Catholic faith”"
HowarthJudd,2018-10-31 15:04:30+00:00,0,1,"['#brexit', '#brexitshambles', '#Brexiteers', '#ukip', '#StopBrexit', '#leave', '#FBPE', '#DespiteBrexit', '#cleanbrexit', '#BrexitBritain', '#EU']",#brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE #DespiteBrexit #cleanbrexit #BrexitBritain #EU https:// twitter.com/carolecadwalla /status/1057642674080137218 …
LizzieRoberts,2018-10-31 15:04:23+00:00,0,0,['#ukip'],"Another #ukip Cllr says he disagrees with his colleague’s comments, but says Cllr Cutts is extremely hard working and always measured in his arguments. He adds“surely we are entitled to our opinions, even if the majority disagree”"
