Username,Date,Favorites,Retweets,Hashtags,Text
camlex,2016-06-25 23:52:35+00:00,3,0,['#Brexit'],Eu security removed this flag half an hour after it was hang @Eu comission building. #Brexit pic.twitter.com/NJwEkPtKXd
jplonie,2016-06-25 23:52:34+00:00,0,0,['#brexit'],The most popular article of clothing in the uk at the moment. https:// verybritishproblems.teemill.co.uk/product/bloody -hell-t-shirt/ … #brexit
marco_bragazzi,2016-06-25 23:52:34+00:00,1,0,['#Brexit'],siete un po fuori tempo. Si è votato una settimana fa. Adesso siamo già oltre il #Brexit
pisosxDias_Madr,2016-06-25 23:52:33+00:00,0,0,"['#Brexit', '#L6NgoodbyeUK']",#Brexit #L6NgoodbyeUK pic.twitter.com/p65qaBCpKE
Denise247365,2016-06-25 23:52:33+00:00,0,0,['#Brexit'],"@lupacchinom Good point. I agree with you. What say you, @mikerobb38 ? #Brexit https:// twitter.com/lupacchinom/st atus/746853146085908480 …"
nycdonovan,2016-06-25 23:52:33+00:00,0,0,['#Brexit'],Obviously there is an effect of #Brexit on AA-BA... $AAL is in the toilet rn!!!
alphanewlife,2016-06-25 23:52:32+00:00,0,0,['#Brexit'],#Brexit are just trying to survive. Hillery is a LIER and murder...
Jackeraser2,2016-06-25 23:52:31+00:00,5,5,['#Brexit'],"#Brexit : Les medias jouent la surprise pr la pétition signée par 2,5Mill de personnes.Mais rien d'étonnant car la moitié du RU à voté contre"
Bxl_Scot,2016-06-25 23:52:31+00:00,3,1,['#Brexit'],"Sorry, but to all the #Brexit supporters who now regret their vote due to the £350m figure - you were told that was false time and again"
s0urc3c0d3err0r,2016-06-25 23:52:30+00:00,1,0,['#Brexit'],"Only one person on twitter has mentioned that UK was previously not in the EU. UK joined EU, now leaving EU. #Brexit pic.twitter.com/OmT5iCYcP3"
OhAodhaConor,2016-06-25 23:52:30+00:00,1,0,['#brexit'],All these brexiters decrying the possibility of a 2nd #brexit referndum obviously havent read up on Nice and Lisbon. This is the EU bruv
SquaredCircleTs,2016-06-25 23:52:30+00:00,3,3,['#Brexit'],Good timing Canada. #Brexit pic.twitter.com/KuKJA6zAtt
savvimedia,2016-06-25 23:52:29+00:00,0,0,['#Brexit'],1 side didn't think they'd win & the other didn't think they'd lose. What a bloody mess. #Brexit http://www. bbc.com/news/uk-politi cs-eu-referendum-36629324 …
g_is_silent,2016-06-25 23:52:29+00:00,0,0,"['#BrexitIn5Words', '#Brexit', '#voteMagee', '#callmepharaohgConor']",5 years until (E)arth (U)nion. #BrexitIn5Words #Brexit #voteMagee #callmepharaohgConor pic.twitter.com/bw7g3ENXWV
masters_nik,2016-06-25 23:52:27+00:00,0,0,['#Brexit'],#Brexit = https:// twitter.com/TomChivers/sta tus/746332560054190081 …
KitschKiller,2016-06-25 23:52:27+00:00,12,9,"['#Brexit', '#EURefResults']",#Brexit #EURefResults pic.twitter.com/kUkTmEu6xi
tahirtheram86,2016-06-25 23:52:27+00:00,0,0,"['#EUreferendum', '#Brexit', '#BrexitVote', '#EURefResults', '#EUref']",Leave campaign enjoying a HOLLOW victory. 2nd #EUreferendum imperative!!! http://www. independent.co.uk/news/uk/politi cs/brexit-disenfranchised-expats-denied-eu-referendum-missing-postal-votes-demand-re-run-hundreds-a7103066.html … #Brexit #BrexitVote #EURefResults #EUref
ToruOkada69,2016-06-25 23:52:26+00:00,0,0,"['#Brexit', '#TakeBackControl']","""...lawyers, consultants, project managers, European regulatory experts, will all be in huge demand"" #Brexit #TakeBackControl"
EmilevanRinsum,2016-06-25 23:52:25+00:00,0,0,['#Brexit'],On sale #Brexit beer ! pic.twitter.com/r6vq9nlZZx
wendycockcroft,2016-06-25 23:52:25+00:00,0,0,['#Brexit'],This had nothing to do with class. The main driver for #Brexit was disaffected poor people. Most of the rich wanted in. Being rich
SweetFreedom29,2016-06-25 23:52:24+00:00,0,0,"['#BREXIT', '#tcot']",DEMS WORRY #BREXIT WILL LEAD TO TRUMP VICTORY http:// bit.ly/28UguCV #tcot
naja_1974,2016-06-25 23:52:23+00:00,0,0,"['#brexit', '#ikketilattro']",Whaaat...come in!! #brexit #ikketilattro http://www. dr.dk/nyheder/udland /brexit/vaelgere-vil-traekke-stemmer-tilbage-efter-brexit …
HelenLewers,2016-06-25 23:52:23+00:00,1,1,['#Brexit'],"""Err...I wonder what it was I just voted to leave?"" :) Pro #Brexit voters https:// twitter.com/SusanCarland/s tatus/746686644158226432 …"
J_de_SaintSimon,2016-06-25 23:52:23+00:00,0,0,"['#Brexit', '#UE', '#Europe']","#Brexit . Rassurez-vous bobos, journaleux, incultes... Les européens n'ont pas attendu l' #UE pour voyager sans visa en #Europe ."
snittel,2016-06-25 23:52:23+00:00,0,0,['#brexit'],Interesting demographics #brexit http://www. viewsoftheworld.net/?p=4848
Virginia4USA,2016-06-25 23:52:22+00:00,0,0,"['#Brexit', '#TrumpOrganization', '#Trump']",@gary_cardio1501 #Brexit should hire #TrumpOrganization 2 construct wall around entire country..under budget & on time. #Trump
Sid____,2016-06-25 23:52:21+00:00,1,1,"['#MachineLearning', '#Brexit']",#MachineLearning #Brexit https:// twitter.com/homeaiinfo/sta tus/746802633701105664 …
doudaka,2016-06-25 23:52:20+00:00,0,0,['#brexit'],イギリスEU離脱の真実「つまり日本で例えると地方のマイルドヤンキー（高齢マイルドヤンキー含む）が東京都民の大多数が反対するにも拘らず、右派に同調してしまいそれが「国民の声」として「民意」となってしまった、に等しい。」 #brexit https:// twitter.com/kikakuya/statu s/746852349512032258 …
